record_id,model_score,recommended_action,decision_rationale,risk_band,expected_cost_if_monitor,expected_cost_if_inspect,expected_decision_cost,champion_model,cost_equivalence_threshold,validation_cost_threshold,high_risk_threshold
OP_0127,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0128,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0129,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0130,0.640294,A2: Immediate intervention / safety escalation,Failure probability 0.6403 exceeds the high-risk escalation threshold 0.33; immediate safety-focused intervention is recommended.,High,320.1471,3.5971,3.5971,Extra Trees,0.019608,0.07,0.33
OP_0131,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0132,0.002645,A0: Continue monitoring,Failure probability 0.0026 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,1.3223,9.9736,1.3223,Extra Trees,0.019608,0.07,0.33
OP_0133,1.5e-05,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0077,9.9998,0.0077,Extra Trees,0.019608,0.07,0.33
OP_0134,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0135,0.7375,A2: Immediate intervention / safety escalation,Failure probability 0.7375 exceeds the high-risk escalation threshold 0.33; immediate safety-focused intervention is recommended.,High,368.75,2.625,2.625,Extra Trees,0.019608,0.07,0.33
OP_0136,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0137,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0138,7e-06,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0036,9.9999,0.0036,Extra Trees,0.019608,0.07,0.33
OP_0139,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0140,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0141,0.002601,A0: Continue monitoring,Failure probability 0.0026 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,1.3007,9.974,1.3007,Extra Trees,0.019608,0.07,0.33
OP_0142,0.010191,A0: Continue monitoring,Failure probability 0.0102 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,5.0955,9.8981,5.0955,Extra Trees,0.019608,0.07,0.33
OP_0143,0.02883,A1: Schedule inspection,"Failure probability 0.0288 exceeds the cost-equivalence threshold 0.0196. Because a missed failure costs 500 compared with 10 for an unnecessary inspection, scheduled inspection is recommended.",Elevated,14.4152,9.7117,9.7117,Extra Trees,0.019608,0.07,0.33
OP_0144,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0145,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0146,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0147,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0148,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0149,0.002831,A0: Continue monitoring,Failure probability 0.0028 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,1.4153,9.9717,1.4153,Extra Trees,0.019608,0.07,0.33
OP_0150,0.052891,A1: Schedule inspection,"Failure probability 0.0529 exceeds the cost-equivalence threshold 0.0196. Because a missed failure costs 500 compared with 10 for an unnecessary inspection, scheduled inspection is recommended.",Elevated,26.4454,9.4711,9.4711,Extra Trees,0.019608,0.07,0.33
OP_0151,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0152,0.011311,A0: Continue monitoring,Failure probability 0.0113 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,5.6553,9.8869,5.6553,Extra Trees,0.019608,0.07,0.33
OP_0153,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0154,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0155,4e-06,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.002,10.0,0.002,Extra Trees,0.019608,0.07,0.33
OP_0156,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0157,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0158,0.003632,A0: Continue monitoring,Failure probability 0.0036 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,1.8158,9.9637,1.8158,Extra Trees,0.019608,0.07,0.33
OP_0159,0.253071,A1: Schedule inspection,"Failure probability 0.2531 exceeds the cost-equivalence threshold 0.0196. Because a missed failure costs 500 compared with 10 for an unnecessary inspection, scheduled inspection is recommended.",Elevated,126.5357,7.4693,7.4693,Extra Trees,0.019608,0.07,0.33
OP_0160,0.000163,A0: Continue monitoring,Failure probability 0.0002 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0815,9.9984,0.0815,Extra Trees,0.019608,0.07,0.33
OP_0161,0.029094,A1: Schedule inspection,"Failure probability 0.0291 exceeds the cost-equivalence threshold 0.0196. Because a missed failure costs 500 compared with 10 for an unnecessary inspection, scheduled inspection is recommended.",Elevated,14.5469,9.7091,9.7091,Extra Trees,0.019608,0.07,0.33
OP_0162,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0163,4e-06,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.002,10.0,0.002,Extra Trees,0.019608,0.07,0.33
OP_0164,1.1e-05,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0054,9.9999,0.0054,Extra Trees,0.019608,0.07,0.33
OP_0165,0.00024,A0: Continue monitoring,Failure probability 0.0002 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.12,9.9976,0.12,Extra Trees,0.019608,0.07,0.33
OP_0166,0.005197,A0: Continue monitoring,Failure probability 0.0052 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,2.5985,9.948,2.5985,Extra Trees,0.019608,0.07,0.33
OP_0167,1e-05,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0048,9.9999,0.0048,Extra Trees,0.019608,0.07,0.33
OP_0168,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0169,0.000104,A0: Continue monitoring,Failure probability 0.0001 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0518,9.999,0.0518,Extra Trees,0.019608,0.07,0.33
OP_0170,1.5e-05,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0077,9.9998,0.0077,Extra Trees,0.019608,0.07,0.33
OP_0171,2.1e-05,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0104,9.9998,0.0104,Extra Trees,0.019608,0.07,0.33
OP_0172,4e-06,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.002,10.0,0.002,Extra Trees,0.019608,0.07,0.33
OP_0173,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0174,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0175,0.8775,A2: Immediate intervention / safety escalation,Failure probability 0.8775 exceeds the high-risk escalation threshold 0.33; immediate safety-focused intervention is recommended.,High,438.75,1.225,1.225,Extra Trees,0.019608,0.07,0.33
OP_0176,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0177,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0178,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0179,0.001995,A0: Continue monitoring,Failure probability 0.0020 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.9976,9.98,0.9976,Extra Trees,0.019608,0.07,0.33
OP_0180,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0181,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0182,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0183,4e-06,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.002,10.0,0.002,Extra Trees,0.019608,0.07,0.33
OP_0184,6.1e-05,A0: Continue monitoring,Failure probability 0.0001 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0304,9.9994,0.0304,Extra Trees,0.019608,0.07,0.33
OP_0185,0.000175,A0: Continue monitoring,Failure probability 0.0002 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0874,9.9983,0.0874,Extra Trees,0.019608,0.07,0.33
OP_0186,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0187,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0188,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0189,0.217765,A1: Schedule inspection,"Failure probability 0.2178 exceeds the cost-equivalence threshold 0.0196. Because a missed failure costs 500 compared with 10 for an unnecessary inspection, scheduled inspection is recommended.",Elevated,108.8824,7.8224,7.8224,Extra Trees,0.019608,0.07,0.33
OP_0190,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0191,0.004278,A0: Continue monitoring,Failure probability 0.0043 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,2.1391,9.9572,2.1391,Extra Trees,0.019608,0.07,0.33
OP_0192,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0193,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0194,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0195,0.000132,A0: Continue monitoring,Failure probability 0.0001 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0662,9.9987,0.0662,Extra Trees,0.019608,0.07,0.33
OP_0196,8.3e-05,A0: Continue monitoring,Failure probability 0.0001 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0413,9.9992,0.0413,Extra Trees,0.019608,0.07,0.33
OP_0197,0.0,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0,10.0,0.0,Extra Trees,0.019608,0.07,0.33
OP_0198,0.020091,A1: Schedule inspection,"Failure probability 0.0201 exceeds the cost-equivalence threshold 0.0196. Because a missed failure costs 500 compared with 10 for an unnecessary inspection, scheduled inspection is recommended.",Elevated,10.0455,9.7991,9.7991,Extra Trees,0.019608,0.07,0.33
OP_0199,0.349205,A2: Immediate intervention / safety escalation,Failure probability 0.3492 exceeds the high-risk escalation threshold 0.33; immediate safety-focused intervention is recommended.,High,174.6026,6.5079,6.5079,Extra Trees,0.019608,0.07,0.33
OP_0200,1.1e-05,A0: Continue monitoring,Failure probability 0.0000 is below the cost-equivalence threshold 0.0196; expected miss-risk cost remains below the inspection cost.,Low,0.0054,9.9999,0.0054,Extra Trees,0.019608,0.07,0.33
